test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
4,21,0.632,1.038,0.574,0.44,0.652,1.038,0.566,0.532,0.85,1.131,0.634,7.171,0.85,1.131,0.634,7.079
7,21,0.668,1.046,0.592,0.745,0.654,1.037,0.563,0.784,0.869,1.059,0.747,3.207,0.882,1.066,0.741,4.457
10,21,0.67,1.049,0.575,0.89,0.723,1.043,0.646,1.028,0.94,1.059,0.776,3.263,0.832,1.051,0.74,3.347
13,21,0.661,1.044,0.539,1.318,0.681,1.051,0.562,1.206,0.944,1.066,0.784,3.707,0.887,1.053,0.798,3.782
16,21,0.675,1.042,0.498,1.648,0.754,1.056,0.586,1.532,0.972,1.064,0.796,4.441,0.901,1.056,0.806,4.639
test22,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,22,0.914,1.079,0.716,0.332,0.906,1.077,0.714,0.38,0.997,1.126,0.777,4.565,0.997,1.126,0.777,4.64
4,22,0.823,1.073,0.675,0.496,0.836,1.077,0.672,0.521,0.996,1.126,0.771,6.05,0.996,1.126,0.771,5.713
7,22,0.824,1.069,0.645,0.83,0.819,1.069,0.653,0.629,0.997,1.071,0.819,2.589,0.997,1.068,0.801,2.049
10,22,0.862,1.072,0.666,0.933,0.818,1.069,0.622,1.155,1,1.075,0.81,3.046,0.999,1.063,0.826,3.128
13,22,0.841,1.07,0.625,1.206,0.76,1.067,0.567,1.232,1,1.066,0.803,3.489,0.99,1.063,0.805,3.614
16,22,0.808,1.069,0.606,1.529,0.784,1.069,0.578,1.565,1,1.07,0.808,4.249,0.967,1.056,0.799,5.292
test23,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,23,0.571,1.041,0.483,0.24,0.597,1.039,0.501,0.313,0.806,1.112,0.601,5.379,0.806,1.112,0.601,7.259
4,23,0.595,1.026,0.612,0.492,0.667,1.025,0.562,0.686,0.908,1.109,0.739,7.299,0.908,1.109,0.739,7.758
